HL_HFE,HL_KFE,FL_HFE,FL_KFE,HR_HFE,HR_KFE,FR_HFE,FR_KFE
-33.34685727740103,87.58844172480342,52.6287182964821,-89.5639580571271,-46.85356195672594,90.22223234907922,40.38034617555713,-89.5639580571271
-33.37978061847182,88.83715288056624,53.056417850995125,-89.4544179723069,-46.35953025152752,90.21801939302175,40.92058638616997,-89.66507055785435
-33.38530034091754,90.05792772812649,53.4787045809281,-89.33644948535934,-45.861102028871215,90.20538053183076,41.45718173949666,-89.75775609285039
-34.87267751486195,91.81502097581327,53.89551303156833,-89.21005154297201,-45.358349861554444,90.18431578508387,41.990062591946035,-89.84201511364913
-37.859323397236,94.0160988631464,54.30677855990486,-89.0752228181774,-44.851346311810836,90.15482518085473,42.51915868588054,-89.91784793504942
-40.84308389766247,96.06847247539451,54.71243735999703,-88.93196166919002,-44.340163863663115,90.11690874887955,43.04439922287873,-89.98525476246256
-46.03520032670339,97.06081553428086,55.11242648491404,-88.78026609544013,-43.824874854084214,90.07056651099049,43.56571293667308,-90.0442357165187
-50.92047742407607,97.36656659562433,55.50668386516807,-88.62013369078247,-43.305551403107565,90.01579846881593,44.08302816564036,-90.09479085493614
-53.824462377921776,96.46342464356836,55.89514832356781,-88.45156159385391,-42.78226534302526,89.95260458874758,44.59627292471596,-90.13692019165484
-54.910461666689656,94.7552668990344,56.277759586423755,-88.27454643554873,-42.255088146810984,89.88098478417383,45.10537497660028,-90.17062371323627
-55.85239183970398,92.89735728422893,56.654458291041955,-88.08908428357469,-41.724090855901466,89.80093889497863,45.610261902121614,-90.19590139252958
-54.5624327386391,91.58399824611847,57.02518598944637,-87.8951705840462,-41.18934400746661,89.71246666430395,46.11086116961815,-90.21275319960485
-53.273247476257396,90.24408707842097,57.389885148274,-87.69280010006413,-40.65091756129403,89.61556771257325,46.60710020319845,-90.22117910995308
-52.4128593795564,89.61556771257325,58.214632053155505,-88.21632811165072,-40.10888082640978,89.5102415087722,47.098906449739815,-90.22117910995308
-51.97716501989115,89.71246666430395,59.50335548490958,-89.45099481460603,-39.56330238754998,89.39648733898056,47.58620744448255,-90.21275319960485
-51.53622482719705,89.80093889497863,60.79171272739783,-90.65802068287276,-39.014250031593846,89.2743042721486,48.06893087507741,-90.19590139252958
-51.090106849881124,89.88098478417383,60.221611030724134,-92.93426816474195,-38.46179067406015,89.14369112310717,48.54700464394601,-90.17062371323627
-50.63887979382061,89.95260458874758,59.501455501181724,-95.06077127152733,-37.905990285763316,89.00464641279991,49.02035692881266,-90.13692019165484
-50.182612979765956,90.01579846881593,57.07613200860687,-96.65027893842542,-37.34691381971666,88.85716832572103,49.48891624126977,-90.09479085493614
-49.721376297949625,90.07056651099049,52.72353737563953,-97.29966583129392,-36.78462513836221,88.70125466453943,49.95261148323968,-90.0442357165187
-49.25524016001732,90.11690874887955,47.975040312304614,-97.26144132124837,-36.21918694119755,88.53690280188556,50.41137200119973,-89.98525476246256
-48.78427544840237,90.15482518085473,45.072700533843644,-95.6280348315958,-35.65066069286087,88.36410962927211,50.86512763803956,-89.91784793504942
-48.308553463268375,90.18431578508387,42.15795616866747,-93.84507305670277,-35.0791065517254,88.18287150311464,51.313808782423685,-89.84201511364913
-47.828145867149416,90.20538053183076,40.64669324218158,-92.24395614889261,-34.50458329904406,87.9931841878122,51.75734641553632,-89.75775609285039
-47.343124627419336,90.21801939302175,40.52702256213582,-90.91740361033885,-33.92714826867412,87.79504279584046,52.195672155089746,-89.66507055785435
-46.85356195672594,90.22223234907922,40.38034617555713,-89.5639580571271,-33.34685727740103,87.58844172480342,52.6287182964821,-89.5639580571271
-46.35953025152752,90.21801939302175,40.92058638616997,-89.66507055785435,-33.37978061847182,88.83715288056624,53.056417850995125,-89.4544179723069
-45.861102028871215,90.20538053183076,41.45718173949666,-89.75775609285039,-33.38530034091754,90.05792772812649,53.4787045809281,-89.33644948535934
-45.358349861554444,90.18431578508387,41.990062591946035,-89.84201511364913,-34.87267751486195,91.81502097581327,53.89551303156833,-89.21005154297201
-44.851346311810836,90.15482518085473,42.51915868588054,-89.91784793504942,-37.859323397236,94.0160988631464,54.30677855990486,-89.0752228181774
-44.340163863663115,90.11690874887955,43.04439922287873,-89.98525476246256,-40.84308389766247,96.06847247539451,54.71243735999703,-88.93196166919002
-43.824874854084214,90.07056651099049,43.56571293667308,-90.0442357165187,-46.03520032670339,97.06081553428086,55.11242648491404,-88.78026609544013
-43.305551403107565,90.01579846881593,44.08302816564036,-90.09479085493614,-50.92047742407607,97.36656659562433,55.50668386516807,-88.62013369078247
-42.78226534302526,89.95260458874758,44.59627292471596,-90.13692019165484,-53.82446237792179,96.46342464356836,55.89514832356781,-88.45156159385391
-42.255088146810984,89.88098478417383,45.10537497660028,-90.17062371323627,-54.910461666689656,94.7552668990344,56.277759586423755,-88.27454643554873
-41.724090855901466,89.80093889497863,45.61026190212164,-90.19590139252958,-55.85239183970398,92.89735728422893,56.654458291041955,-88.08908428357469
-41.18934400746661,89.71246666430395,46.11086116961815,-90.21275319960485,-54.5624327386391,91.58399824611847,57.02518598944637,-87.8951705840462
-40.65091756129403,89.61556771257325,46.60710020319845,-90.22117910995308,-53.273247476257396,90.24408707842097,57.389885148274,-87.69280010006413
-40.10888082640978,89.5102415087722,47.098906449739815,-90.22117910995308,-52.4128593795564,89.61556771257325,58.214632053155505,-88.21632811165072
-39.56330238754998,89.39648733898056,47.58620744448255,-90.21275319960485,-51.97716501989115,89.71246666430395,59.50335548490958,-89.45099481460603
-39.014250031593846,89.2743042721486,48.06893087507741,-90.19590139252958,-51.53622482719705,89.80093889497863,60.7917127273978,-90.65802068287276
-38.46179067406015,89.14369112310717,48.54700464394601,-90.17062371323627,-51.090106849881124,89.88098478417383,60.22161103072411,-92.93426816474195
-37.905990285763316,89.00464641279991,49.02035692881266,-90.13692019165484,-50.63887979382061,89.95260458874758,59.501455501181724,-95.06077127152733
-37.34691381971666,88.85716832572103,49.48891624126977,-90.09479085493614,-50.182612979765956,90.01579846881593,57.07613200860687,-96.65027893842542
-36.78462513836221,88.70125466453943,49.95261148323968,-90.0442357165187,-49.721376297949625,90.07056651099049,52.72353737563953,-97.29966583129392
-36.21918694119755,88.53690280188556,50.41137200119973,-89.98525476246256,-49.25524016001732,90.11690874887955,47.975040312304614,-97.26144132124837
-35.65066069286087,88.36410962927211,50.86512763803956,-89.91784793504942,-48.784275448402354,90.15482518085473,45.07270053384362,-95.6280348315958
-35.0791065517254,88.18287150311464,51.313808782423685,-89.84201511364913,-48.308553463268375,90.18431578508387,42.15795616866747,-93.84507305670277
-34.50458329904406,87.9931841878122,51.75734641553632,-89.75775609285039,-47.828145867149416,90.20538053183076,40.64669324218158,-92.24395614889261
