l_hip,l_knee,l_ankle,r_hip,r_knee,r_ankle,l_shoulder,l_elbow,r_shoulder,r_elbow,rad_l_hip,rad_l_knee,rad_l_ankle,rad_r_hip,rad_r_knee,rad_r_ankle,rad_l_shoulder,rad_l_elbow,rad_r_shoulder,rad_r_elbow
81.09838321347645,236.66287579697598,92.23874098954771,81.09838321347645,236.66287579697598,92.23874098954771,48.645562296657616,343.27969320214805,48.645562296657616,343.27969320214805,1.4154338051192634,4.13054639989563,1.60986972816186,1.4154338051192634,4.13054639989563,1.60986972816186,0.84902522856069,5.99136090161348,0.84902522856069,5.99136090161348
78.89199943823361,236.7852305003702,93.42277006139628,78.89199943823361,236.7852305003702,93.42277006139628,51.41456455805225,339.26155113519167,51.41456455805225,339.26155113519167,1.3769251436786933,4.13268189232516,1.63053493390495,1.3769251436786933,4.13268189232516,1.63053493390495,0.897353435017195,5.9212310927322,0.897353435017195,5.9212310927322
76.66125309462471,236.93314722161634,94.60559968375897,76.66125309462471,236.93314722161634,94.60559968375897,53.81266947281202,335.97951803723805,53.81266947281202,335.97951803723805,1.3379912752058933,4.13526352612966,1.6511792053053,1.3379912752058933,4.13526352612966,1.6511792053053,0.939208261588011,5.86394880901348,0.939208261588011,5.86394880901348
74.40648423366784,237.107772046464,95.78574371986872,74.40648423366784,237.107772046464,95.78574371986872,55.9787231519243,333.1637953737248,55.9787231519243,333.1637953737248,1.2986381347107536,4.13831130427897,1.67177660438319,1.2986381347107536,4.13831130427897,1.67177660438319,0.977013030063457,5.81480517771215,0.977013030063457,5.81480517771215
72.12811746169675,237.31024029757666,96.96164224072652,72.12811746169675,237.31024029757666,96.96164224072652,57.98118965863742,330.68122049292515,57.98118965863742,330.68122049292515,1.2588731329718232,4.14184504189164,1.69229990524149,1.2588731329718232,4.14184504189164,1.69229990524149,1.01196266376651,5.77147607211489,1.01196266376651,5.77147607211489
69.82665954210758,237.5416733724394,98.13166708545286,69.82665954210758,237.5416733724394,98.13166708545286,59.85978907580267,328.45442314583204,59.85978907580267,328.45442314583204,1.2187051146788934,4.14588431104601,1.7127206911121,1.2187051146788934,4.14588431104601,1.7127206911121,1.04475040892209,5.73261112663344,1.04475040892209,5.73261112663344
67.50269593989485,237.80317574453653,99.29412831556841,67.50269593989485,237.80317574453653,99.29412831556841,61.639957272081254,326.43374876737647,61.639957272081254,326.43374876737647,1.1781442981237733,4.15044838844088,1.7330094670044,1.1781442981237733,4.15044838844088,1.7330094670044,1.07582020518644,5.6973437056187,1.07582020518644,5.6973437056187
65.1568863090062,238.09583218490005,100.44728150609406,65.1568863090062,238.09583218490005,100.44728150609406,63.33910296788869,324.5851081208502,63.33910296788869,324.5851081208502,1.1372021964397736,4.15555620690239,1.75313578695895,1.1372021964397736,4.15555620690239,1.75313578695895,1.10547589204937,5.66507883965062,1.10547589204937,5.66507883965062
62.789958945548804,238.42070526161154,101.58933579283989,62.789958945548804,238.42070526161154,101.58933579283989,64.96972200443898,322.8839293193213,64.96972200443898,322.8839293193213,1.0958915207918936,4.16122631174209,1.77306839449918,1.0958915207918936,4.16122631174209,1.77306839449918,1.13393556308287,5.63538766839881,1.13393556308287,5.63538766839881
60.402704253312926,238.77883317419756,102.71846257248914,60.402704253312926,238.77883317419756,102.71846257248914,66.54110735416032,321.3118366672519,66.54110735416032,321.3118366672519,1.0542260663286935,4.16747682296001,1.7927753744765,1.0542260663286935,4.16747682296001,1.7927753744765,1.16136141125311,5.60794947547379,1.16136141125311,5.60794947547379
57.99596729102219,239.17122797794272,103.83280473103524,57.99596729102219,239.17122797794272,103.83280473103524,68.06035940376363,319.85468835389906,68.06035940376363,319.85468835389906,1.0122205821072736,4.17432540425308,1.81222431413691,1.0122205821072736,4.17432540425308,1.81222431413691,1.18787736168636,5.5825174397159,1.18787736168636,5.5825174397159
55.570639492222554,239.59887425012553,104.93048625765198,55.570639492222554,239.59887425012553,104.93048625765198,69.5330177874944,318.5013491639342,69.5330177874944,318.5013491639342,0.9698906265780733,4.18178923973655,1.83138247091469,0.9698906265780733,4.18178923973655,1.83138247091469,1.21358009923956,5.55889721495474,1.21358009923956,5.55889721495474
53.12764966781557,240.06272824614197,106.00962208604301,53.12764966781557,240.06272824614197,106.00962208604301,70.96347497670165,317.24288711971974,70.96347497670165,317.24288711971974,0.9272524105494533,4.18988501921557,1.85021694419635,0.9272524105494533,4.18988501921557,1.85021694419635,1.23854628700005,5.53693290877182,1.23854628700005,5.53693290877182
50.667954417104816,240.56371758858145,107.06832799431366,50.667954417104816,240.56371758858145,107.06832799431366,72.35525733755725,316.0720276179141,72.35525733755725,316.0720276179141,0.8843226298288833,4.19862893275854,1.86869484810599,0.8843226298288833,4.19862893275854,1.86869484810599,1.26283747166816,5.51649755538705,1.26283747166816,5.51649755538705
48.19252808505991,241.10274152686992,108.10473038807007,48.19252808505991,241.10274152686992,108.10473038807007,73.71122220386127,314.9827707893067,73.71122220386127,314.9827707893067,0.8411182899441334,4.20803667522874,1.88678348225259,0.8411182899441334,4.20803667522874,1.88678348225259,1.28650352312653,5.49748643732802,1.28650352312653,5.49748643732802
45.70235241079573,241.6806717993061,109.11697578989798,45.70235241079573,241.6806717993061,109.11697578989798,75.03369979096327,313.9701161053183,75.03369979096327,313.9701161053183,0.7976565254751535,4.2181234613297,1.90445049735266,0.7976565254751535,4.2181234613297,1.90445049735266,1.30958511130529,5.47981227890668,1.30958511130529,5.47981227890668
