HL_HFE,HL_KFE,FL_HFE,FL_KFE,HR_HFE,HR_KFE,FR_HFE,FR_KFE
-33.34685727740103,87.58844172480342,52.6287182964821,-89.5639580571271,-46.85356195672594,90.22223234907922,40.38034617555713,-89.5639580571271
-33.67133288292861,88.79058678907788,52.789735756996585,-89.52386817205443,-46.66881988926526,90.22163990206155,40.583358993311315,-89.60286281519396
-33.981515162473826,89.97649977727518,52.94999784040768,-89.48259312051962,-46.48345318549277,90.2198625611505,40.7858653329755,-89.64058248177065
-34.277499881382575,91.14669977978657,53.10950105606462,-89.44013285886784,-46.29746567020239,90.21690032676804,40.98786155539768,-89.6771170886819
-34.55935656436756,92.30166596055037,53.26824192865758,-89.39648733898056,-46.11086116961815,90.21275319960485,41.1893440074666,-89.71246666430395
-34.82712986989672,93.44184060185295,53.42621699844442,-89.35165650800259,-45.92364351090833,90.20742118060123,41.39030902265715,-89.74663123379901
-35.080840782071014,94.56763180118345,53.58342282146834,-89.30564030806123,-45.735816521695405,90.20090427092055,41.59075292157559,-89.77961081934244
-35.711026016443235,95.82397557151505,53.73985596976634,-89.2584386759779,-45.54738402956225,90.193202471915,41.79067201250432,-89.81140544034189
-37.11990303554961,97.34532716799669,53.89551303156833,-89.21005154297201,-45.358349861554444,90.18431578508387,41.990062591946035,-89.84201511364913
-38.533083220838165,98.83802875904313,54.05039061148692,-89.16047883435694,-45.16871784367896,90.174244212024,42.18892094516727,-89.87143985376402
-39.95162561779216,100.30278005156559,54.20448533069793,-89.10972046922835,-44.97849180039954,90.1629877543729,42.3872433467414,-89.89967967303105
-41.376561160554154,101.74018171111054,54.35779382711103,-89.0577763601447,-44.78767555412858,90.15054641374408,42.58502606109023,-89.92673458182807
-42.80889575488438,103.15074203691354,54.510312755531025,-89.00464641279991,-44.59627292471597,90.13692019165484,42.78226534302525,-89.95260458874758
-44.249612606966835,104.53488261713592,54.66203878780932,-88.95033052568823,-44.40428772893492,90.12210908944648,42.97895743828695,-89.97728970077021
-46.17331782402372,105.31207283914593,54.812968612985635,-88.89482858976119,-44.211723779964785,90.10611310819685,43.175098584083564,-90.00078992343082
-48.30709299659097,105.7123338407925,54.96309893741987,-88.83814048807665,-44.01858488687132,90.0889322486254,43.370685009627955,-90.02310526097676
-50.40284017761859,106.0135077773616,55.11242648491404,-88.78026609544013,-43.824874854084214,90.07056651099049,43.56571293667308,-90.0442357165187
-52.45598644630692,106.21515954753512,55.26094799682406,-88.72120527803787,-43.63059748087233,90.05101589497926,43.76017858004579,-90.06418129217381
-54.46190569600647,106.31698867121618,55.40866023216187,-88.66095789306222,-43.43575656081653,90.03028039958974,43.954078148178795,-90.08294198920119
-56.41598487393941,106.31884059924646,55.55555996768679,-88.59952378832874,-43.240355881280344,90.00836002300551,44.1474078436405,-90.10051780812996
-58.31368968502664,106.22071250333852,55.701643997987254,-88.53690280188556,-43.04439922287873,89.98525476246256,44.34016386366311,-90.11690874887955
-58.46947516545151,105.00093045108866,55.846909135551755,-88.47309476161436,-42.84789035894489,89.9609646141088,44.532342400668036,-90.13211481087244
-58.589248634755535,103.75360529636258,55.991352210830044,-88.40809948482341,-42.6508330549953,89.93548957285581,44.72393964278923,-90.14613599313928
-58.673590215150746,102.47860754538591,56.134970072283195,-88.34191677783234,-42.45323106819328,89.90882963222292,44.914951774393835,-90.15897229441651
-58.72303772042774,101.17573725331742,56.277759586423755,-88.27454643554873,-42.255088146810984,89.88098478417383,45.10537497660028,-90.17062371323627
-58.7380826369007,99.8447202259391,56.41971763784526,-88.20598824103648,-42.05640802969002,89.85195501894556,45.295205427793334,-90.18109024800872
-58.71916615016033,98.4852036722564,56.560841129240885,-88.13624196507574,-41.85719444570108,89.82174032486981,45.48443930413646,-90.19037189709678
